ASSETNUM;DESCRIPTION;ASSETTAG;LOCATION;SLXJDETECNICO;INSTALLDATE;STATUS;SITEID
4598808;MOTOBOMBA 2 TANQUE ENFRIAM VSIMARCA GENERAL 218-P-9004 GE-4559;2 TANQUE;SI_CNV_AUXMEC_VAP_PURGA_HRSG1-2;124832;21/12/1998;OPERACION;0131_GE
4230675;ANUNCIADOR DE ALARMAS;TDM3;G3_CNV_U3_CTRL;644200;;OPERACION;0131_GE
4588967;CONTROLADOR +TUAD ADQ DATOS HE EPM-GE-9174;#¿NOMBRE?;HE_CNV_CENTRO-CTRL;200018;24/10/2005;OPERACION;0131_GE
4598700;VALVULA BLOQ ALIM MBV2201 SI MARCA AUMA GE-4449;MBV2201 BLOQ ALIM;SI_CNV_U3_REC-HRSG2_LP_AL-AGUA;124516;21/12/1998;OPERACION;0131_GE
4593939;REGULADOR ELECTRONICO U3 PL EPM-GE-7259;;PL_CNV_U3_TURB_AUX_REGVEL;;;FUERA DE OP;0131_GE
4595017;TRANSFORMADOR DE POTENCIA;FASE T;GT_TRF_BCO1_TRAFOS;782217;29/05/1972;OPERACION;0131_GE
4598526;PUENTE GRUA CAPTACION MARCA IMOCOM CAPACIDAD 20 TON GE-4275;;SI_CNV_U3_CIRC-ACOND_DIST-480V;122224;27/08/2000;OPERACION;0131_GE
4599392;MONITOREO EMISIONES U2 SI GE-5143;;SI_CNV_U2_TURB-GAS_ESCAPE;129954;21/08/2000;OPERACION;0131_GE
4589054;COJINETE TURBINA U1 VU EPM-GE-9377;;VU_CNV_U1_TURB;226410;21/10/2005;OPERACION;0131_GE
4229684;CONTROL LUBRICA +TLCT CT U4 P3_EPM-GE-1997;TLCT;PIII_CNV_U4_TURB_AUX_CIR-ACEI_CT;446830;;OPERACION;0131_GE
4598582;VALVULA BLOQ BY-PASS HP1007 MARCA AUMA GE-4331;HP1007;SI_CNV_U3_REC-HRSG1_HP_BYPASS;122319;21/12/1998;OPERACION;0131_GE
4589035;VALVULA ADMISION U1 VU EPM-GE-9357;;VU_CNV_U1_TURB;155814;17/12/2001;OPERACION;0131_GE
4233348;TERMOMETRO BCO 1 FASE R Y1 G4_EPM-GE-1202;;G4_TRF_INSTRUM;626352;;OPERACION;0131_GE
4593910;CONTROL POTENCIA LF/CA U3 PL EPM-GE-7230;LF/CA;PL_CNV_U3_GEN_AUX_ LUB-FORZ;692281;;OPERACION;0131_GE
4588878;ACUMULADOR NITROGENO U1 HE EPM-GE-9081;;HE_CNV_U1_TURB_AUX_REGVEL;199970;24/10/2005;OPERACION;0131_GE
4594672;CALEFACCION GENERADOR U8 GT EPM-GE-6525;;GT_CNV_U8_GEN_AUX;6352;12/03/2002;OPERACION;0131_GE
4594552;MOTOBOMBA 1 C/ACEITE CGS U6 GT EPM-GE-6405;1;GT_CNV_U6_GEN_AUX_CIRC-ACEI;630044;22/11/2012;OPERACION;0131_GE
4594551;MOTOBOMBA 2 LUBRI FORZADA U6GT EPM-GE-6404;2;GT_CNV_U6_GEN_AUX_ LUB-FORZ;667145;27/05/2014;OPERACION;0131_GE
4594541;NEUTRO TIERRA U6 GT EPM-GE-6394;;GT_CNV_U6_GEN_AUX;5711;25/10/2001;OPERACION;0131_GE
4594527;TRANSDUCTOR 3 U5 FASE T GT EPM-GE-6380;3 FASE T;GT_CNV_U5_CTRL_INST;124207;29/05/2001;OPERACION;0131_GE
4229332;TRANSFORMADOR DE DISTRIBUCION, SERVICIOS_MISCELANEOS;2;PII_CNV_AUXELEC_C/M_MISC;116448;9/04/2001;OPERACION;0131_GE
4594365;TRANSFORMADOR EXCITACION U3 GT EPM-GE-6218;;GT_CNV_U3_GEN_AUX_EXCIT;6395;16/09/1993;OPERACION;0131_GE
4233125;TRANSDUCTOR TEMPER CGT U1 G4_EPM-GE-966;;G4_CNV_U1_CTRL_INST;250486;;OPERACION;0131_GE
4233340;TERMOMETRO 1 BANCO 2 FASE T G4_EPM-GE-1194;;G4_TRF_INSTRUM;124441;;OPERACION;0131_GE
4229896;SERVOMOTOR COMP DESCARGA U3 P3_EPM-GE-2215;;PIII_CNV_U3_TURB_AUX_DESCARGA;468104;;OPERACION;0131_GE
4230066;COMPRESOR 1 AIRE ADM TURBINAP3_EPM-GE-2390;1;PIII_CNV_AUXMEC_C/M_ACOMP_TURB;468637;;OPERACION;0131_GE
4595063;TRANSFORMADOR DE POTENCIA;FASE S;GT_TRF_BCO3_TRAFOS;782222;;OPERACION;0131_GE
4229965;CONTROL REFRIGERACION TCSRU1 P3_EPM-GE-2285;TCSR;PIII_CNV_U1_GEN_AUX_REFRIG;300576;1/07/2011;OPERACION;0131_GE
4594654;TRANSDUCTOR 4 U7 FASE T GT EPM-GE-6507;4 FASE T;GT_CNV_U7_CTRL_INST;124232;29/05/2001;OPERACION;0131_GE
2977007;REGULADOR DE TENSION;;TS_CNV_U2_GEN_AUX_EXCIT;381441;1/07/1993;OPERACION;0131_GE
4593064;ESTACION HIDRAULICA A4 JP EPM-GE-10429;;JP_CNV_AEROG4_GOND;226724;27/04/2004;OPERACION;0131_GE
4592999;AIRE ACONDICIONADO C/INF A2 JP EPM-GE-10359;C/INF A2;JP_CNV_AEROG2_GOND_CONT-INFER;226707;8/01/2013;OPERACION;0131_GE
2976875;CABLE DE POTENCIA AISLADO, SECO;CIRCUITO3;TS_TRF_CABLES-POTENCIA;2827;1/07/1993;OPERACION;0131_GE
4594590;TRANSDUCTOR 3 U6 FASE T GT EPM-GE-6443;3 FASE T;GT_CNV_U6_CTRL_INST;124219;29/05/2001;OPERACION;0131_GE
4593152;RODAMIENTO PRINCIPAL A7 JP EPM-GE-10523;;JP_CNV_AEROG7_GOND;226592;27/04/2004;OPERACION;0131_GE
4599027;DUCTOS ESCAPE GAS T1 GSI SISTEMA ESCAPE GAS EXHOSTO  GE-4773;;SI_CNV_U1_TURB-GAS_ESCAPE;130579;21/08/2000;OPERACION;0131_GE
4592599;CONTROL GENERADOR +TGC U1 R1 EPM-GE-20086;#¿NOMBRE?;RG1_CNV_U1_CTRL;313139;12/03/2008;OPERACION;0131_GE
4588764;BY-PASS U2 CA EPM-GE-10240;;CA_CNV_U2_TURB_AUX;691329;10/11/2014;OPERACION;0131_GE
4598578;VALVULA ATEMPERACI TCV1022HPSIMARCA CONTROL COMPONET GE-4327;TCV1022 ATEMPERACI;SI_CNV_U3_REC-HRSG1_HP_SUPC;122312;21/12/1998;OPERACION;0131_GE
4599032;VENTILADOR CARCAZA TT2 U1 GSI SISTEMA CARCAZA Y COJINETE  GE-4778;TT2 CARCAZA;SI_CNV_U1_TURB-GAS_COMP-TURBINA;130604;21/08/2000;OPERACION;0131_GE
4593714;ANILLOS ROZANTES U1 PL EPM-GE-7034;;PL_CNV_U1_GEN;6961;;OPERACION;0131_GE
4593762;MOTOBOMBA 2 REGULADOR U1 PL EPM-GE-7082;2;PL_CNV_U1_TURB_AUX_REGVEL;6911;;OPERACION;0131_GE
4593756;MOTOBOMBA 1 ACEITE CGT U1 PL EPM-GE-7076;1 CGT;PL_CNV_U1_TURB_AUX_CIRC-ACEI;6904;;OPERACION;0131_GE
4230887;TABLERO DE CONTROL;TCFAD;G3_CNV_AUXMEC_C/M_REFRIG_SFILTROS;173796;;OPERACION;0131_GE
4230100;INTERCAMBIADOR CALOR ACRU1 P3_EPM-GE-2424;ACRU 1;PIII_CNV_AUXMEC_C/M_AACON_REFR_ACRU;300679;;OPERACION;0131_GE
4593692;CARGADOR BATERIAS  POZO COM PL EPM-GE-7012;;PL_CND_CAPT_CAMAR-COMP_AUXELEC;633901;;OPERACION;0131_GE
4599221;VENTILADOR 4 MODULO PPT U2 GE-4970;4-MODULO_PPT;SI_CNV_U2_GEN_COMP-TERMS_VENT;;;OPERACION;0131_GE
4233233;RELE PROTECCION GEN PP1 U3 G4_EPM-GE-1076;GEN PP1;G4_CNV_U3_CTRL_PROTEC;376202;;OPERACION;0131_GE
4598787;MOTOBOMBA 1 AMINA VAPOR SIMARCA RELIANCE ELECTRIC B-516-P-9001 GE-4535;1;SI_CNV_AUXMEC_VAP_QUIM_AMINA;124790;21/12/1998;OPERACION;0131_GE
4594919;PLANTA EMERGENCIA AUX C/M GT EPM-GE-6733;;GT_CNV_AUXELEC-C/M;381866;27/01/2010;OPERACION;0131_GE
4598995;MOTOBOMBA  CAPTACION AGUA U1-2   GE-4742;U1-2;SI_CNV_AUXMEC_GAS_TTO_CAPT-1-2;665385;27/08/2000;OPERACION;0131_GE
4598637;CENTRO CONTROL CCM1 HRSG1 MARCA SISTEMA RECUPERADOR CALOR 1 GE-4386;CCM1;SI_CNV_U3_REC-HRSG1;122438;21/12/1998;OPERACION;0131_GE
4595058;INTERCAMBIADOR 2 FR BANCO 3 GT EPM-GE-6868;2 FASE R BCO 3;GT_TRF_BCO3_TRAFOS;816331;;OPERACION;0131_GE
4598757;BATERIAS EDI TTO AGUA VAPOR VOLTAJE        VDC  GE-4505;;SI_CNV_AUXMEC_VAP_TTO_EDI1;124575;21/12/1998;OPERACION;0131_GE
4229777;DISTRIBUIDOR TURBINA U2 P3_EPM-GE-2092;;PIII_CNV_U2_TURB;477630;1/07/2011;OPERACION;0131_GE
4594802;INTERCAMBIADOR DE CALOR DE PLACAS;PLACA CHILL2 GT;GT_CNV_AUXMEC_C/M_AACON_ACRU;5903;24/02/2002;OPERACION;0131_GE
4592547;PLC COMUNICACIONES R1 EPM-GE-20034;;RG1_CNV_COMUNIC;357081;11/06/2009;OPERACION;0131_GE
5424809;CONTRA INCENDIO EQUIPOS H2OVSI TIPO H2O SISTEMA EQUIPOS AGUA;EQUIPOS H2OV;SI_CNV_AUXMEC_VAP;124826;;PLANEADO;0131_GE
4594085;ESTACION INGENIERIA  C/M PL EPM-GE-7405;;PL_CNV_CENTRO-CTRL_SCADA;764891;;OPERACION;0131_GE
4594880;COMPRESOR 1 INTERRUPTOR GEN GT EPM-GE-6691;1 INTERRUPT;GT_CNV_AUXMEC-C/M_ACOMP_INTERRUP1;5775;23/01/2002;OPERACION;0131_GE
4593974;ALUMBRADO TOMAS +PC3 C/M PL EPM-GE-7294;0;PL_CNV_AUXELEC-C/M;6835;;OPERACION;0131_GE
4598736;INVERSOR CORRIENTE 1   GE-4484;CORRIENTE 1;SI_CNV_AUXELEC_VAP;655260;11/02/2014;OPERACION;0131_GE
6605803;TRANSFORMADOR DE POTENCIA UNIDAD 1 PLAYAS;U1;PL_TRF;837371;;OPERACION;0131_GE
4230161;ALUMBRADO TAT8 TUNEL TRAFOS P3_EPM-GE-2491;TAT8;PIII_CNV_AUXELEC-C/M_ SAUX480AC;226163;1/07/2011;OPERACION;0131_GE
4593975;DISTRIBUCION CAVERNA PPAL PL EPM-GE-7295;CAVERNA PPAL;PL_CNV_AUXELEC-C/M;6829;;OPERACION;0131_GE
4230569;CALEFACCION GENERADOR U2 G3_EPM-GE-462;;G3_CNV_U2_GEN;2716;;OPERACION;0131_GE
4229770;INTERCAMBIADOR 1 CIRC CI U2 P3_EPM-GE-2085;1 CI;PIII_CNV_U2_GEN_AUX_CIRC-ACEI_CI;476861;;OPERACION;0131_GE
2977375;EDIFICIO;DESCARGA_DE_FONDO;TS_ALM_OBRAS;4676;1/07/1993;OPERACION;0131_GE
4598399;VALVULA MSV1 PARO HP MARCA MSV1 (DERECHA) GE-4147;MSV1 PARO HP;SI_CNV_U3_TURB-VAP_S-HP_INYEC;122013;21/12/1998;OPERACION;0131_GE
4230647;INTERCAMBIADOR 1 CGS U3 G3_EPM-GE-541;1 CGS;G3_CNV_U3_GEN_AUX_CIRC-ACEI;2394;;OPERACION;0131_GE
4599109;VENTILADOR FC5 BAHIA3 U1 SISTEMA UNIDAD 1 MARCA GENERAL GE-4859;FC5;SI_CNV_U1_AGUA-ENFRI_BAHIA3;130649;18/08/2000;OPERACION;0131_GE
4230762;MOTOBOMBA;1;G3_CNV_U5_GEN_AUX_ LUB-FORZ;644188;;OPERACION;0131_GE
5493053;MOTOBOMBA 2 FASE S BCO 2;;GT_TRF_BCO2_TRAFOS;831944;;OPERACION;0131_GE
4588799;VERTEDERO AZUD CONTROL HE EPM-GE-9000;;HE_ALM_OBRAS;155717;30/10/2004;OPERACION;0131_GE
4230655;INYECTOR TURBINA;2;G3_CNV_U3_TURB_INYEC;2451;;OPERACION;0131_GE
4599033;VENTILADOR ENFRIAMIE BT1 U1SI SISTEMA COMPARTIMIENTO TURB  GE-4779;BT1 ENFRIAMIE;SI_CNV_U1_TURB-GAS_COMP-TURBINA;130610;21/08/2000;OPERACION;0131_GE
4599349;SECCIONADOR DIAMETRO 5 G252 SISTEMA SUBESTACION 220 KV MARCA ABB GE-5099;G252;SI_TRF_BAH230KV_D5-U1-U2;;;OPERACION;0131_GE
6600814;MEDIDOR DE TEMPERATURA;DEVANADO ALTA FASE R;GT_TRF_BCO4_TRAFOS;;;OPERACION;0131_GE
6600827;MEDIDOR DE TEMPERATURA;DEVANADO BAJA 1 FASE R;GT_TRF_BCO4_TRAFOS;;;PLANEADO;0131_GE
4230495;CIRCUITO DE ALUMBRADO Y TOMACORRIENTES;;G3_CND_C/V;2354;1/07/1962;OPERACION;0131_GE
4230395;TRANSFORMADOR DE POTENCIAL, 1F;FT BCO6G3;G3_TRF_BCO_TRAFOS_U6;644123;;OPERACION;0131_GE
4228630;COMPUERTA DESCARGA 1 TENCHE TR_EPM-GE-041;DESCARGA 1;TR_CND_BOCATOM_TENCHE;3577;;OPERACION;0131_GE
4595088;DGA FASE R GT EPM-GE-6898;FASE R;GT_TRF_BCO4_TRAFOS;812334;;OPERACION;0131_GE
2976924;TUBERIA DE ACERO CARBONO;;TS_CNV_U1_GEN_AUX_REFRIG;3088;1/07/1993;OPERACION;0131_GE
4592930;BATERIAS C/M RF EPM-GE-9870;;RF_CNV_AUXELEC-C/M;285070;25/06/2007;OPERACION;0131_GE
4588956;DISTRIBUCION ALUMBRAD TD208 HE EPM-GE-9163;TD208;HE_CNV_AUXELEC-C/M_AUX-AC;200036;24/10/2005;OPERACION;0131_GE
4228701;RADIADOR;3;TR_CNV_U2_GEN_RAD;3690;;OPERACION;0131_GE
4593990;BATERIAS UPS2 PL EPM-GE-7310;2;PL_CNV_AUXELEC-C/M_UPS;380881;;OPERACION;0131_GE
4598403;VALVULA DRENAJE ASIEN 1A HP ANTES VALVULA 2 PARO VAPOR HP GE-4151;1A HP DRENAJE ASIEN;SI_CNV_U3_TURB-VAP_S-HP_DR-INY;122020;21/12/1998;OPERACION;0131_GE
4598377;MOTOBOMBA 02 AGUA SERVICIO MARCA SISTEMA BOMBEO AGUA SERVICIO GE-4126;2;SI_ALM_ACPM_ESTA_AUXMEC_C/INC_BOMB;737991;7/10/2015;OPERACION;0131_GE
4593979;DISTRIBUCION ALMENARA PL EPM-GE-7299;ALMENARA;PL_CNV_AUXELEC-C/M;6833;;OPERACION;0131_GE
4230086;DUCTOS VENTILACION C/M P3_EPM-GE-2410;;PIII_CNV_AUXMEC_C/M_AACON;300657;;OPERACION;0131_GE
4592567;BANCO TIRISTORES REG R1 EPM-GE-20054;;RG1_CNV_U1_GEN_AUX_EXCIT;500572;13/12/2011;OPERACION;0131_GE
4229566;CONTROL COMP DESCARGA3 TLVC3P3_EPM-GE-1874;TLVC3;PIII_ALM_EMB_VERT;475538;;OPERACION;0131_GE
4230880;VALVULA MOTORIZADA U6 G3_EPM-GE-779;U6;G3_CNV_AUXMEC_C/M_REFRIG_BOMBE_ATRA;263638;;OPERACION;0131_GE
4588970;RED TELEFONICA HE EPM-GE-9177;;HE_CNV_CENTRO-CTRL_COMUNIC;200033;24/10/2005;OPERACION;0131_GE
4230931;TRANSFORMADOR DE DISTRIBUCION;T2 SAM1;G3_CNV_AUXELEC_C/M;263612;1/07/1962;OPERACION;0131_GE
4230273;INTERRUPTOR 5U 220 S/E 500 P3_EPM-GE-2611;5U 220;PIII_TRF_S/E-500KV_BAHIA-D2;468587;1/07/2011;OPERACION;0131_GE
4229926;TERMOMETRO 7 CGS U3 P3_EPM-GE-2245;7;PIII_CNV_U3_CTRL_INST;468150;;OPERACION;0131_GE
2976844;INTERCAMBIADOR DE CALOR DE CORAZA Y TUBOS;3-TRF_RESERVA;TS_TRF_TRANSFORMADORES;2925;;OPERACION;0131_GE
2976867;RTU;REPETIDORA_SABANETA;TS_TRF_AUXELEC-S/E_REMOTO-RIO;523299;19/07/2012;OPERACION;0131_GE
2977030;MOTOBOMBA,DE TORNILLOS;1_CGS;TS_CNV_U2_GEN_AUX_CIRC-ACEI;2985;;OPERACION;0131_GE
2977164;SUICHE, TEMPERATURA;2_METAL_CGT;TS_CNV_U3_CTRL_INST;124714;;OPERACION;0131_GE
2977244;SECCIONADOR DE APERTURA CENTRAL;ALIMENTACION_EXTERNA;TS_CNV_AUXELEC-C/M_SSAUX4;3194;;OPERACION;0131_GE
4228614;ESTRUCTURA SALIDA MIRAFLORES_EPM-GE-025;ESTRUCTURA DE SALIDA;TR_CND_OBRAS_MIRAFL;116712;1/07/1964;OPERACION;0131_GE
4228689;RELE PROTECCION 2 GEN U1 TR_EPM-GE-101;GEN PR1;TR_CNV_U1_CTRL_PROTEC;300811;;OPERACION;0131_GE
4228719;RODETE FRANCIS U2 TR_EPM-GE-130;;TR_CNV_U2_TURB;3588;1/07/1965;OPERACION;0131_GE
4228745;RELE PROTECCION 2 GEL U2 TR_EPM-GE-156;GEN PR2;TR_CNV_U2_CTRL_PROTEC;300812;;OPERACION;0131_GE
4228752;COMPUERTA DESCARGA 2 C/M TR_EPM-GE-163;DESCARGA 2;TR_CNV_AUXMEC-C/M;3566;;OPERACION;0131_GE
4229005;ROTOR GENERADOR U1 P2;;PII_CNV_U1_GEN;116115;;OPERACION;0131_GE
4229587;DISTRIBUCION TUPS 05 P3_EPM-GE-1896;TUPS 05;PIII_ALM_EMB_AUXELEC;260164;;OPERACION;0131_GE
4229606;CONTROL COMPUERT ADUC TCCAD P3_EPM-GE-1918;;PIII_CND_CAPT_AUXMEC;503923;;OPERACION;0131_GE
4229607;COMPUERTA PLANA;SERVICIO1;PIII_CND_CAPT;503916;;OPERACION;0131_GE
4229712;TERMOMETRO 1 CCGUIA U4 P3_EPM-GE-2025;1;PIII_CNV_U4_CTRL_INST;454524;;OPERACION;0131_GE
4230137;FIBRA OPTICA TDFO-01 C/M P3_EPM-GE-2463;TDFO-01;PIII_CNV_CENTRO-CTRL_SCADA_COMUNIC;226158;1/07/2001;OPERACION;0131_GE
4230168;BANCO CONDENSADORES C/M P3_EPM-GE-2498;;PIII_CNV_AUXELEC-C/M_ SAUX480AC;736536;;OPERACION;0131_GE
4230171;SERVICIOS MISCEL TSM-02 C/M P3_EPM-GE-2501;TSM-02;PIII_CNV_AUXELEC-C/M_ SAUX480AC;260134;1/07/2011;OPERACION;0131_GE
4230313;TERMOMETRO Y1 FASE T BCO1 P3_EPM-GE-2655;Y1;PIII_TRF_INSTRUM;468502;;OPERACION;0131_GE
4230314;TERMOMETRO H1 FASE S BCO2 P3_EPM-GE-2656;H1;PIII_TRF_INSTRUM;511448;;OPERACION;0131_GE
4230315;TERMOMETRO H1 FASE T BCO2 P3_EPM-GE-2657;H1;PIII_TRF_INSTRUM;511449;;OPERACION;0131_GE
4230403;INTERRUPTOR;R-51-07;G3_TRF_AUXELEC-S/E;2744;;OPERACION;0131_GE
4230560;TABLERO DE DISTRIBUCION;SA;G3_CNV_U1_CTRL;644192;;OPERACION;0131_GE
4230710;RECINTO;;G3_CNV_U4_TURB;2472;;OPERACION;0131_GE
4230913;TABLERO DE CONTROL;MCC;G3_CNV_AUXMEC_C/M_MALACATE;645144;;OPERACION;0131_GE
4231000;EDIFICIO;INFERIOR TELEFERIC;G3_SOSTO-APOYO_OBRAS;82352;;OPERACION;0131_GE
4233157;TRANSFORMADOR EXCITACION U2 G4_EPM-GE-999;;G4_CNV_U2_GEN_AUX_EXCIT;375519;23/08/2007;OPERACION;0131_GE
4254407;DECADA RESISTENCIAS;;G3_SOSTO-APOYO_LAB-METROLOGIA;116709;;OPERACION;0131_GE
4588776;POZO SEPTICO C/M CA EPM-GE-10252;;CA_CNV_OBRAS;491893;10/10/2011;OPERACION;0131_GE
4588859;RADIADOR 2 U1 HE EPM-GE-9061;2;HE_CNV_U1_GEN_RAD;199958;23/10/2005;OPERACION;0131_GE
4588924;RADIADOR 1 U2 HE EPM-GE-9130;1;HE_CNV_U2_GEN_RAD;199988;24/10/2005;OPERACION;0131_GE
4588964;RODETE FRANCIS RESERV 31783 HE EPM-GE-9171;31783;HE_ROTABLES;245395;30/10/2004;OPERACION;0131_GE
4588990;COMPUERTA 2 DESARENADOR VU EPM-GE-9311;2 DESARENADOR;VU_ALM_BOCAT;200068;25/10/2005;OPERACION;0131_GE
4589115;RADIADOR 2 GENERADOR U1 NQ EPM-GE-8012;2;NQ_CNV_U1_GEN_RAD;4346;5/03/2002;OPERACION;0131_GE
